default;optimized;DEFAULT;OPTIM;;default WIN 8;optimized WIN 8;WIN 10 default;WIN 10 optimazed
1371,546167;539,090185;148,4813;55,6558;mimimum;268,274852;114,929557;44,8387;16,7065
469,010019;195,302354;118,0961;46,1511;q1;271,2414683;129,1381595;52,29695;18,560925
873,235894;189,189394;91,242;60,7809;median;275,93239;130,079725;55,76485;19,7385
349,664448;122,434727;69,1829;24,7746;q3;284,452839;130,8474548;59,3199;21,7134
343,399501;119,975561;73,0518;22,866;maxium;1371,546167;539,090185;148,4813;60,7809
321,399232;118,033154;66,5419;21,5221;;;;;
402,737912;121,50076;83,9539;23,0238;;;;;
342,498212;127,400176;64,2657;22,1293;;;;;
327,225694;115,766251;64,3516;21,2814;;;;;
360,665342;116,104425;62,7307;25,8741;;;;;
413,454589;117,779333;69,237;19,4733;;;;;
333,277858;114,929557;64,2907;18,1561;;;;;
304,828736;115,713056;51,2178;23,5128;;;;;
378,890988;116,568748;49,8371;20,0597;;;;;
319,801078;114,939436;50,6923;18,8277;;;;;
287,977062;117,462438;64,7479;17,2683;;;;;
282,440897;125,57632;52,25;18,0756;;;;;
284,362026;129,356263;44,9379;18,3351;;;;;
286,643367;130,224874;50,1632;18,581;;;;;
286,278596;130,265911;50,0891;16,8281;;;;;
280,338903;130,133681;50,9211;25,3506;;;;;
288,193644;128,356181;46,4948;20,1226;;;;;
280,195274;133,442461;48,7944;18,4782;;;; ;
275,409931;147,669301;53,0472;19,6384;;;;;
275,916051;137,156289;44,8387;19,9202;;;;;
279,137437;142,102739;50,9208;21,6924;;;;;
269,398804;142,379357;61,5446;18,6301;;;;;
278,246788;129,866942;56,0156;20,52;;;;;
276,499685;128,568964;49,7822;19,0222;;;;;
284,234357;130,931618;60,3422;19,0305;;;;;
284,725278;130,154199;49,0544;19,3367;;;;;
295,035387;129,321305;50,7033;19,6731;;;;;
279,577443;130,379902;57,2973;19,8555;;;;;
284,853708;130,662599;54,4623;18,0541;;;;;
285,520175;130,446016;47,8523;19,8941;;;;;
279,022686;129,8943;51,0699;22,8579;;;;;
295,538467;128,382019;63,0562;21,9744;;;;;
272,674146;131,975017;59,2435;19,5237;;;;;
279,885219;130,936178;55,1065;17,5892;;;;;
299,940041;129,843384;62,5381;16,7226;;;;;
282,163519;129,368421;51,489;19,0428;;;;;
280,718873;129,743071;53,9628;16,7585;;;;;
281,158878;129,583485;62,8023;21,0408;;;;;
276,151632;129,356262;55,3677;23,6876;;;;;
273,186346;130,817627;54,3681;18,3547;;;;;
273,223583;131,315388;54,8893;21,7764;;;;;
280,319145;136,356831;57,7818;19,7065;;;;;
275,352935;129,8981;59,1942;21,328;;;;;
277,188191;132,241756;58,6918;21,5209;;;;;
275,02616;130,923259;56,917;18,0908;;;;;
276,282342;132,087487;56,1815;20,4867;;;;;
271,231779;129,069005;55,2595;22,281;;;;;
272,845893;129,585765;55,8759;23,2298;;;;;
271,610229;131,081327;52,1355;18,1315;;;;;
272,818534;129,560686;54,1039;18,5007;;;;;
271,145906;129,887461;54,3737;20,2866;;;;;
271,244698;131,731075;53,7091;19,2465;;;;;
274,473684;129,724073;56,5918;18,2339;;;;;
271,142106;128,334143;51,4445;23,9388;;;;;
273,019159;131,105645;60,319;19,9602;;;;;
271,756138;130,570646;53,6941;19,8554;;;;;
273,487282;130,474894;52,861;19,2108;;;;;
274,361973;130,620043;56,547;20,1381;;;;;
282,559448;130,295548;55,8272;18,7526;;;;;
276,039921;131,400501;52,8819;18,8462;;;;;
276,879655;128,261948;57,6271;19,357;;;;;
280,75383;129,024169;55,5403;22,1736;;;;;
272,266818;130,218794;56,2961;17,943;;;;;
278,480849;130,233993;67,9872;16,9558;;;;;
283,169681;129,157918;58,9063;24,5747;;;;;
272,838293;130,358623;57,1178;25,4241;;;;;
269,201979;129,031008;55,8693;17,6019;;;;;
271,558553;130,075165;56,9038;16,9617;;;;;
269,799292;128,123639;52,0282;18,675;;;;;
270,712741;129,376781;53,9954;20,3249;;;;;
269,116866;129,920898;62,4216;19,7446;;;;;
270,135946;132,065449;55,7025;20,4472;;;;;
269,56599;130,193717;51,8578;19,4899;;;;;
275,948729;132,670361;54,1925;22,4048;;;;;
272,184745;131,03573;55,3232;18,8161;;;;;
269,770414;128,906378;52,1129;18,0184;;;;;
273,649149;130,071366;59,5491;23,6749;;;;;
274,893171;130,431578;58,2818;31,932;;;;;
269,205019;130,084285;53,1866;21,8658;;;;;
270,813053;129,850984;61,9612;16,7065;;;;;
268,876725;129,709634;64,1944;17,6359;;;;;
273,158228;130,164079;54,3783;17,5253;;;;;
269,938362;131,763752;57,5703;20,4189;;;;;
270,565312;130,324426;58,7114;18,1189;;;;;
268,694339;130,253752;58,1345;19,165;;;;;
271,413405;130,902741;51,5742;18,8195;;;;;
268,274852;130,541009;51,2906;18,4878;;;;;
272,768378;129,078884;59,1147;21,4619;;;;;
269,646545;129,184516;64,4343;19,0034;;;;;
270,448281;130,673998;53,9471;19,1292;;;;;
270,378367;129,205794;56,7625;20,2571;;;;;
270,45436;129,374501;53,7358;19,7324;;;;;
268,418481;130,462735;52,3126;22,5883;;;;;
270,693741;130,068326;57,742;21,2309;;;;;
269,291653;130,829026;54,029;19,8321;;;;;
